 ep year mon day hour min sec gx gy gz
1 2019 03 06 05 13 35.322110358 -0.030000 -0.010000 -0.010000
2 2019 03 06 05 13 36.353455749 -0.050000 -0.020000 -0.020000
3 2019 03 06 05 13 37.385784628 -0.050000 -0.020000 -0.020000
4 2019 03 06 05 13 38.415851010 -0.040000 0.000000 -0.020000
5 2019 03 06 05 13 39.445928674 -0.060000 -0.020000 -0.020000
6 2019 03 06 05 13 40.476100428 -0.030000 -0.020000 -0.020000
7 2019 03 06 05 13 41.506255912 -0.040000 -0.010000 -0.020000
8 2019 03 06 05 13 42.536319191 -0.050000 -0.020000 -0.020000
9 2019 03 06 05 13 43.566386929 -0.050000 -0.010000 -0.010000
10 2019 03 06 05 13 44.596457041 -0.050000 0.000000 -0.020000
11 2019 03 06 05 13 45.626525832 -0.060000 -0.040000 -0.030000
12 2019 03 06 05 13 46.656581113 -0.030000 -0.020000 -0.020000
13 2019 03 06 05 13 47.686638507 -0.060000 -0.020000 -0.020000
14 2019 03 06 05 13 48.716716245 -0.040000 -0.020000 -0.020000
15 2019 03 06 05 13 49.746794899 -0.050000 -0.020000 -0.020000
16 2019 03 06 05 13 50.776866814 -0.070000 -0.030000 -0.020000
17 2019 03 06 05 13 51.806926728 -0.050000 -0.010000 -0.020000
18 2019 03 06 05 13 52.836998028 -0.060000 -0.020000 0.000000
19 2019 03 06 05 13 53.867054462 -0.060000 -0.020000 -0.020000
20 2019 03 06 05 13 54.897127230 -0.030000 -0.020000 -0.020000
21 2019 03 06 05 13 55.927309243 -0.050000 -0.020000 -0.020000
22 2019 03 06 05 13 56.957382228 -0.030000 -0.020000 -0.010000
23 2019 03 06 05 13 57.987453472 -0.040000 -0.010000 -0.020000
24 2019 03 06 05 13 59.017517143 -0.030000 -0.010000 -0.020000
25 2019 03 06 05 14 00.051473532 -0.050000 -0.020000 -0.020000
26 2019 03 06 05 14 01.081543984 -0.040000 -0.010000 -0.020000
27 2019 03 06 05 14 02.112597768 -0.040000 -0.010000 -0.020000
28 2019 03 06 05 14 03.161187211 -0.050000 -0.040000 -0.020000
29 2019 03 06 05 14 04.193241544 -0.050000 -0.020000 -0.020000
30 2019 03 06 05 14 05.223550442 -0.050000 -0.020000 -0.020000
31 2019 03 06 05 14 06.253936816 -0.050000 -0.030000 -0.020000
32 2019 03 06 05 14 07.284245046 -0.040000 -0.030000 -0.010000
33 2019 03 06 05 14 08.314670229 -0.070000 -0.010000 -0.030000
34 2019 03 06 05 14 09.345033621 -0.050000 -0.030000 -0.020000
35 2019 03 06 05 14 10.375388553 -0.030000 -0.020000 -0.010000
36 2019 03 06 05 14 11.405752005 -0.040000 0.000000 -0.020000
37 2019 03 06 05 14 12.435934815 -0.040000 -0.050000 -0.030000
38 2019 03 06 05 14 13.466208432 -0.070000 -0.010000 -0.020000
39 2019 03 06 05 14 14.496375625 -0.050000 -0.030000 -0.010000
40 2019 03 06 05 14 15.526665708 -0.030000 -0.020000 -0.010000
41 2019 03 06 05 14 16.556829001 -0.040000 -0.020000 -0.020000
42 2019 03 06 05 14 17.586987741 -0.040000 -0.020000 -0.010000
43 2019 03 06 05 14 18.617256507 -0.050000 -0.020000 -0.020000
44 2019 03 06 05 14 19.647526968 -0.050000 0.000000 -0.020000
45 2019 03 06 05 14 20.677788813 -0.070000 -0.030000 -0.020000
46 2019 03 06 05 14 21.708018656 -0.060000 -0.030000 -0.010000
47 2019 03 06 05 14 22.738215770 -0.040000 -0.030000 -0.020000
48 2019 03 06 05 14 23.768426297 -0.060000 -0.010000 -0.050000
49 2019 03 06 05 14 24.798662791 -0.060000 -0.020000 -0.010000
50 2019 03 06 05 14 25.828848378 -0.030000 -0.030000 -0.020000
51 2019 03 06 05 14 26.859100397 -0.030000 -0.020000 -0.010000
52 2019 03 06 05 14 27.889468744 -0.050000 -0.030000 -0.020000
53 2019 03 06 05 14 28.919947845 -0.050000 -0.020000 -0.020000
54 2019 03 06 05 14 29.950346301 -0.050000 -0.020000 -0.020000
55 2019 03 06 05 14 30.980805772 -0.070000 -0.020000 -0.020000
56 2019 03 06 05 14 32.011207305 -0.060000 -0.020000 -0.020000
57 2019 03 06 05 14 33.051061539 -0.040000 -0.020000 -0.020000
58 2019 03 06 05 14 34.086415527 -0.060000 -0.020000 -0.020000
59 2019 03 06 05 14 35.117934976 -0.050000 -0.020000 -0.010000
60 2019 03 06 05 14 36.149188994 -0.060000 -0.020000 -0.020000
61 2019 03 06 05 14 37.180633450 -0.050000 -0.020000 -0.020000
62 2019 03 06 05 14 38.210826620 -0.050000 -0.020000 -0.010000
